Epoch, Train Loss, Train Acc, Val Loss, Val Acc
497, 0.1161, 0.9639, 2.2094, 0.6197
498, 0.1200, 0.9626, 2.3603, 0.6032
499, 0.1185, 0.9644, 2.2171, 0.6224
500, 0.1201, 0.9637, 2.2947, 0.6246
501, 0.1361, 0.9596, 2.2414, 0.6224
502, 0.1297, 0.9588, 2.2682, 0.6122
503, 0.1083, 0.9678, 20.2040, 0.2113
504, 0.0972, 0.9703, 2.1407, 0.6404
505, 0.0945, 0.9741, 2.1730, 0.6306
506, 0.0884, 0.9737, 2.2369, 0.6366
507, 0.0808, 0.9746, 2.2318, 0.6239
508, 0.0882, 0.9748, 2.2232, 0.6303
509, 0.0897, 0.9718, 2.2377, 0.6284
510, 0.0952, 0.9723, 2.1014, 0.6464
511, 0.0871, 0.9733, 2.1981, 0.6441
512, 0.0859, 0.9746, 2.1547, 0.6411
513, 0.0876, 0.9748, 2.2217, 0.6419
514, 0.0799, 0.9754, 2.1255, 0.6554
515, 0.0914, 0.9729, 2.1413, 0.6295
516, 0.0927, 0.9733, 2.2159, 0.6366
517, 0.0983, 0.9716, 2.2110, 0.6291
518, 0.0968, 0.9688, 2.1775, 0.6280
519, 0.1016, 0.9685, 2.2419, 0.6325
520, 0.1002, 0.9698, 2.1051, 0.6483
521, 0.0924, 0.9718, 2.2204, 0.6321
522, 0.0953, 0.9718, 2.2063, 0.6411
523, 0.0821, 0.9748, 2.0368, 0.6494
524, 0.0924, 0.9741, 2.1131, 0.6494
525, 0.0739, 0.9770, 2.1525, 0.6483
526, 0.0834, 0.9762, 2.1811, 0.6389
527, 0.0734, 0.9787, 2.2210, 0.6299
528, 0.0677, 0.9816, 2.0512, 0.6580
529, 0.0705, 0.9794, 2.2347, 0.6415
530, 0.0850, 0.9733, 2.0666, 0.6449
